2025-07-20 18:18:18.204 INFO  [main] com.example.demoapp.DemoAppApplication: Starting DemoAppApplication using Java 23.0.2 with PID 25480 (/Users/re4388/project/personal/git-clone-pjt/helm-chart-learn_rev1/application/target/classes started by re4388 in /Users/re4388/project/personal/git-clone-pjt/helm-chart-learn_rev1/application)
2025-07-20 18:18:18.206 INFO  [main] com.example.demoapp.DemoAppApplication: No active profile set, falling back to 1 default profile: "default"
2025-07-20 18:18:18.628 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate: Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2025-07-20 18:18:18.649 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate: Finished Spring Data repository scanning in 19 ms. Found 1 MongoDB repository interface.
2025-07-20 18:18:19.026 INFO  [main] o.s.b.w.embedded.tomcat.TomcatWebServer: Tomcat initialized with port 9081 (http)
2025-07-20 18:18:19.030 INFO  [main] o.a.coyote.http11.Http11NioProtocol: Initializing ProtocolHandler ["http-nio-9081"]
2025-07-20 18:18:19.031 INFO  [main] o.apache.catalina.core.StandardService: Starting service [Tomcat]
2025-07-20 18:18:19.031 INFO  [main] o.apache.catalina.core.StandardEngine: Starting Servlet engine: [Apache Tomcat/10.1.16]
2025-07-20 18:18:19.084 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/]: Initializing Spring embedded WebApplicationContext
2025-07-20 18:18:19.084 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext: Root WebApplicationContext: initialization completed in 861 ms
2025-07-20 18:18:19.640 INFO  [main] org.mongodb.driver.client: MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.1"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "aarch64", "version": "15.2"}, "platform": "Java/Homebrew/23.0.2"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, transportSettings=null, streamFactoryFactory=null, commandListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsCommandListener@6c2dd88b], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@49d979c4, com.mongodb.Jep395RecordCodecProvider@3cb173db, com.mongodb.KotlinCodecProvider@26712838]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsConnectionPoolListener@249a45fd], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
2025-07-20 18:18:19.767 INFO  [cluster-ClusterId{value='687cc26bc46ed66478875546', description='null'}-localhost:27017] org.mongodb.driver.cluster: Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=9, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=107779458}
2025-07-20 18:18:20.596 INFO  [main] o.s.b.a.e.web.EndpointLinksResolver: Exposing 4 endpoint(s) beneath base path '/actuator'
2025-07-20 18:18:20.624 INFO  [main] o.a.coyote.http11.Http11NioProtocol: Starting ProtocolHandler ["http-nio-9081"]
2025-07-20 18:18:20.632 INFO  [main] o.s.b.w.embedded.tomcat.TomcatWebServer: Tomcat started on port 9081 (http) with context path ''
2025-07-20 18:18:20.640 INFO  [main] com.example.demoapp.DemoAppApplication: Started DemoAppApplication in 2.648 seconds (process running for 2.786)
